CU Total,"Costo Compra (Gm,i)",Cargo Transporte STN (Tm),"Cargo Transporte SDL (Dn,m)","Margen Comercialización (CVm,i,j)","Costo G, T, Pérdidas (PRn,m)",Restricciones (Rm),"Cfm,j ($/fact.)",COT
747.41,289.09,54.32,256.98,70.27,58.26,18.49,9286,66.32
724.67,289.09,54.32,234.24,70.27,58.26,18.49,9286,10.83
701.93,289.09,54.32,211.5,70.27,58.26,18.49,9286,42.66
610.25,289.09,54.32,158.35,70.27,19.73,18.49,9286,83.74
562.22,289.09,54.32,110.75,70.27,19.3,18.49,9286,34.96
793.95,289.09,54.32,261.91,112.06,57.36,19.21,15291,71.35
757.54,289.09,54.32,225.5,112.06,57.36,19.21,15291,69.42
721.13,289.09,54.32,189.09,112.06,57.36,19.21,15291,76.51
657.13,289.09,54.32,157.72,112.06,24.73,19.21,15291,48.39
590.36,289.09,54.32,94.45,112.06,21.23,19.21,15291,31.05
795.88,289.09,54.32,256.98,93.08,83.2,19.21,9594,50.03
743.64,289.09,54.32,204.74,93.08,83.2,19.21,9594,47.47
691.4,289.09,54.32,152.5,93.08,83.2,19.21,9594,57.59
650.2,289.09,54.32,158.35,93.08,36.15,19.21,9594,70.61
593.3,289.09,54.32,110.75,93.08,26.85,19.21,9594,60.77
746.4,289.09,54.32,261.91,66.18,56.8,18.1,8565,46.19
724.88,289.09,54.32,240.39,66.18,56.8,18.1,8565,40.3
703.36,289.09,54.32,218.87,66.18,56.8,18.1,8565,38.42
609.99,289.09,54.32,157.72,66.18,24.58,18.1,8565,55.61
544.59,289.09,54.32,94.45,66.18,22.44,18.1,8565,39.57
770.93,293.46,49.2,253.04,107.2,58.28,9.76,9328,42.57
748.07,293.46,49.2,230.18,107.2,58.28,9.76,9328,44.08
725.21,293.46,49.2,207.32,107.2,58.28,9.76,9328,34.24
651.66,293.46,49.2,161.69,117.73,19.83,9.76,9328,30.84
609.7,293.46,49.2,114.02,123.88,19.39,9.76,9328,42.1
871.16,293.46,49.2,279.57,181.34,57.43,10.17,15361,40.65
834.73,293.46,49.2,243.13,181.34,57.43,10.17,15361,39.7
798.3,293.46,49.2,206.7,181.34,57.43,10.17,15361,32.87
722.54,293.46,49.2,163.81,181.03,24.87,10.17,15361,43.34
624.62,293.46,49.2,97.6,152.84,21.36,10.17,15361,40.14
878.96,293.46,49.2,253.04,190,83.1,10.17,9639,57.67
826.83,293.46,49.2,200.91,190,83.1,10.17,9639,58.97
774.7,293.46,49.2,148.78,190,83.1,10.17,9639,23.4
650.27,293.46,49.2,161.69,99.58,36.18,10.17,9639,43.51
593.34,293.46,49.2,114.02,99.58,26.92,10.17,9639,38.47
758.19,293.46,49.2,279.57,68.14,56.85,10.98,8604,12.57
736.67,293.46,49.2,258.05,68.14,56.85,10.98,8604,22.62
715.16,293.46,49.2,236.53,68.14,56.85,10.98,8604,23.77
610.29,293.46,49.2,163.81,68.14,24.7,10.98,8604,23.81
541.93,293.46,49.2,97.6,68.14,22.56,10.98,8604,27.14
797.16,295.82,57.43,268.05,106.74,59.39,9.72,9414,49.69
774.09,295.82,57.43,244.99,106.74,59.39,9.72,9414,39.23
751.03,295.82,57.43,221.93,106.74,59.39,9.72,9414,61.83
668.3,295.82,57.43,169.41,116.1,19.82,9.72,9414,25.63
609.82,295.82,57.43,117.47,109.99,19.39,9.72,9414,36.9
874.75,295.82,57.43,282.04,171.47,58.46,9.52,15502,41.66
838.24,295.82,57.43,245.54,171.47,58.46,9.52,15502,47.16
801.74,295.82,57.43,209.04,171.47,58.46,9.52,15502,51.37
731.15,295.82,57.43,166.49,176.93,24.96,9.52,15502,39.14
616.7,295.82,57.43,97.78,134.81,21.34,9.52,15502,33.26
905.55,295.82,57.43,268.05,190,84.72,9.52,9727,48.52
853.3,295.82,57.43,215.81,190,84.72,9.52,9727,46.44
801.06,295.82,57.43,163.57,190,84.72,9.52,9727,58.38
669.37,295.82,57.43,169.41,100.73,36.46,9.52,9727,37.9
607.92,295.82,57.43,117.47,100.73,26.95,9.52,9727,62.09
772.47,295.82,57.43,282.04,67.93,57.88,11.37,8683,49.26
750.9,295.82,57.43,260.47,67.93,57.88,11.37,8683,46.43
729.32,295.82,57.43,238.9,67.93,57.88,11.37,8683,48.86
623.83,295.82,57.43,166.49,67.93,24.8,11.37,8683,44.44
552.9,295.82,57.43,97.78,67.93,22.58,11.37,8683,25.8
802.68,346.81,54.27,266.13,59.23,67.93,8.31,9.56,38.28
