CU Total,"Costo Compra (Gm,i)",Cargo Transporte STN (Tm),"Cargo Transporte SDL (Dn,m)","Margen Comercialización (CVm,i,j)","Costo G, T, Pérdidas (PRn,m)",Restricciones (Rm),"Cfm,j ($/fact.)",COT
1,289.09,54.32,256.98,70.27,58.26,18.49,9286.0,66.32
1,289.09,54.32,234.24,70.27,58.26,18.49,9286.0,10.83
1,289.09,54.32,211.5,70.27,58.26,18.49,9286.0,42.66
0,289.09,54.32,158.35,70.27,19.73,18.49,9286.0,83.74
0,289.09,54.32,110.75,70.27,19.3,18.49,9286.0,34.96
2,289.09,54.32,261.91,112.06,57.36,19.21,15291.0,71.35
2,289.09,54.32,225.5,112.06,57.36,19.21,15291.0,69.42
1,289.09,54.32,189.09,112.06,57.36,19.21,15291.0,76.51
0,289.09,54.32,157.72,112.06,24.73,19.21,15291.0,48.39
0,289.09,54.32,94.45,112.06,21.23,19.21,15291.0,31.05
2,289.09,54.32,256.98,93.08,83.2,19.21,9594.0,50.03
1,289.09,54.32,204.74,93.08,83.2,19.21,9594.0,47.47
1,289.09,54.32,152.5,93.08,83.2,19.21,9594.0,57.59
0,289.09,54.32,158.35,93.08,36.15,19.21,9594.0,70.61
0,289.09,54.32,110.75,93.08,26.85,19.21,9594.0,60.77
1,289.09,54.32,261.91,66.18,56.8,18.1,8565.0,46.19
1,289.09,54.32,240.39,66.18,56.8,18.1,8565.0,40.3
1,289.09,54.32,218.87,66.18,56.8,18.1,8565.0,38.42
0,289.09,54.32,157.72,66.18,24.58,18.1,8565.0,55.61
0,289.09,54.32,94.45,66.18,22.44,18.1,8565.0,39.57
2,293.46,49.2,253.04,107.2,58.28,9.76,9328.0,42.57
1,293.46,49.2,230.18,107.2,58.28,9.76,9328.0,44.08
1,293.46,49.2,207.32,107.2,58.28,9.76,9328.0,34.24
0,293.46,49.2,161.69,117.73,19.83,9.76,9328.0,30.84
0,293.46,49.2,114.02,123.88,19.39,9.76,9328.0,42.1
2,293.46,49.2,279.57,181.34,57.43,10.17,15361.0,40.65
2,293.46,49.2,243.13,181.34,57.43,10.17,15361.0,39.7
2,293.46,49.2,206.7,181.34,57.43,10.17,15361.0,32.87
1,293.46,49.2,163.81,181.03,24.87,10.17,15361.0,43.34
0,293.46,49.2,97.6,152.84,21.36,10.17,15361.0,40.14
2,293.46,49.2,253.04,190.0,83.1,10.17,9639.0,57.67
2,293.46,49.2,200.91,190.0,83.1,10.17,9639.0,58.97
2,293.46,49.2,148.78,190.0,83.1,10.17,9639.0,23.4
0,293.46,49.2,161.69,99.58,36.18,10.17,9639.0,43.51
0,293.46,49.2,114.02,99.58,26.92,10.17,9639.0,38.47
2,293.46,49.2,279.57,68.14,56.85,10.98,8604.0,12.57
1,293.46,49.2,258.05,68.14,56.85,10.98,8604.0,22.62
1,293.46,49.2,236.53,68.14,56.85,10.98,8604.0,23.77
0,293.46,49.2,163.81,68.14,24.7,10.98,8604.0,23.81
0,293.46,49.2,97.6,68.14,22.56,10.98,8604.0,27.14
2,295.82,57.43,268.05,106.74,59.39,9.72,9414.0,49.69
2,295.82,57.43,244.99,106.74,59.39,9.72,9414.0,39.23
1,295.82,57.43,221.93,106.74,59.39,9.72,9414.0,61.83
0,295.82,57.43,169.41,116.1,19.82,9.72,9414.0,25.63
0,295.82,57.43,117.47,109.99,19.39,9.72,9414.0,36.9
2,295.82,57.43,282.04,171.47,58.46,9.52,15502.0,41.66
2,295.82,57.43,245.54,171.47,58.46,9.52,15502.0,47.16
2,295.82,57.43,209.04,171.47,58.46,9.52,15502.0,51.37
1,295.82,57.43,166.49,176.93,24.96,9.52,15502.0,39.14
0,295.82,57.43,97.78,134.81,21.34,9.52,15502.0,33.26
2,295.82,57.43,268.05,190.0,84.72,9.52,9727.0,48.52
2,295.82,57.43,215.81,190.0,84.72,9.52,9727.0,46.44
2,295.82,57.43,163.57,190.0,84.72,9.52,9727.0,58.38
0,295.82,57.43,169.41,100.73,36.46,9.52,9727.0,37.9
0,295.82,57.43,117.47,100.73,26.95,9.52,9727.0,62.09
2,295.82,57.43,282.04,67.93,57.88,11.37,8683.0,49.26
1,295.82,57.43,260.47,67.93,57.88,11.37,8683.0,46.43
1,295.82,57.43,238.9,67.93,57.88,11.37,8683.0,48.86
0,295.82,57.43,166.49,67.93,24.8,11.37,8683.0,44.44
0,295.82,57.43,97.78,67.93,22.58,11.37,8683.0,25.8
2,346.81,54.27,266.13,59.23,67.93,8.31,9.56,38.28
